OBJECTID,DESCRIPTION,ID,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
796,92173 (San Ysidro),92173,8390,28.56,28.56,13011250.0,21458.228262532906,1756054193073,Synapse54,1756054193073,Synapse54
797,92182 (San Diego),92182,172,92.47,92.47,1118750.0,6590.671581328548,1756054193073,Synapse54,1756054193073,Synapse54
798,92201 (Indio),92201,17361,26.13,26.13,64670000.0,45156.55043083316,1756054193073,Synapse54,1756054193073,Synapse54
799,92203 (Indio),92203,7442,21.71,21.71,71103750.0,50626.181985512696,1756054193073,Synapse54,1756054193073,Synapse54
800,92210 (Indian Wells),92210,427,8.55,8.55,52285000.0,39810.02526726225,1756054193073,Synapse54,1756054193073,Synapse54
801,92211 (Palm Desert),92211,3187,11.4,11.4,61500000.0,62111.085212045684,1756054193073,Synapse54,1756054193073,Synapse54
802,92220 (Banning),92220,7406,20.51,20.51,533815000.0,141065.61142151628,1756054193073,Synapse54,1756054193073,Synapse54
803,92223 (Beaumont),92223,16225,24.22,24.22,170608750.0,90619.2285822282,1756054193073,Synapse54,1756054193073,Synapse54
804,92225 (Blythe),92225,3791,25.55,25.55,1555675000.0,275906.33996726025,1756054193073,Synapse54,1756054193073,Synapse54
805,92227 (Brawley),92227,7768,27.99,27.99,1452650000.0,326084.02001691033,1756054193073,Synapse54,1756054193073,Synapse54
806,92230 (Cabazon),92230,669,25.54,25.54,72161250.0,48271.227198029635,1756054193073,Synapse54,1756054193073,Synapse54
807,92231 (Calexico),92231,10201,26.58,26.58,192092500.0,110791.62477727952,1756054193073,Synapse54,1756054193073,Synapse54
808,92233 (Calipatria),92233,1719,25.92,25.92,864701250.0,166996.82633033884,1756054193073,Synapse54,1756054193073,Synapse54
809,92234 (Cathedral City),92234,11741,22.63,22.63,62357500.0,62032.768026097845,1756054193073,Synapse54,1756054193073,Synapse54
810,92236 (Coachella),92236,14539,32.73,32.73,79386250.0,53620.583367236744,1756054193073,Synapse54,1756054193073,Synapse54
811,92239 (Desert Center),92239,937,14.96,14.96,13464476257.933594,609057.7304047911,1756054193073,Synapse54,1756054193073,Synapse54
812,92240 (Desert Hot Springs),92240,11273,26.76,26.76,258777500.0,116921.4358405755,1756054193073,Synapse54,1756054193073,Synapse54
813,92241 (Desert Hot Springs),92241,1576,16.99,16.99,406943750.0,125538.87176989473,1756054193073,Synapse54,1756054193073,Synapse54
814,92242 (Earp),92242,125,10.67,10.67,322933750.0,99777.96457866867,1756054193073,Synapse54,1756054193073,Synapse54
