OBJECTID,DESCRIPTION,ID,TOTPOP_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
284,91702 (Azusa),91702,59987,59987,265925000.0,140079.57495873387,1756054349282,Synapse54,1756054349282,Synapse54
285,91706 (Baldwin Park),91706,67573,67573,58035000.0,45700.72762433788,1756054349282,Synapse54,1756054349282,Synapse54
286,91708 (Chino),91708,20603,20603,32807500.0,36874.228505956096,1756054349282,Synapse54,1756054349282,Synapse54
287,91709 (Chino Hills),91709,75616,75616,167730000.0,64255.61856738247,1756054349282,Synapse54,1756054349282,Synapse54
288,91710 (Chino),91710,80229,80229,82101250.0,64039.625439571064,1756054349282,Synapse54,1756054349282,Synapse54
289,91711 (Claremont),91711,34816,34816,52745000.0,44177.276952318716,1756054349282,Synapse54,1756054349282,Synapse54
290,91722 (Covina),91722,36098,36098,16487500.0,28476.367406778492,1756054349282,Synapse54,1756054349282,Synapse54
291,91723 (Covina),91723,18459,18459,8080000.0,13637.97221636006,1756054349282,Synapse54,1756054349282,Synapse54
292,91724 (Covina),91724,26170,26170,23862500.0,39273.62024566357,1756054349282,Synapse54,1756054349282,Synapse54
293,91730 (Rancho Cucamonga),91730,73063,73063,53462500.0,35899.53475388108,1756054349282,Synapse54,1756054349282,Synapse54
294,91731 (El Monte),91731,27043,27043,14136250.0,25914.551736366426,1756054349282,Synapse54,1756054349282,Synapse54
295,91732 (El Monte),91732,57491,57491,18137500.0,25659.361163605434,1756054349282,Synapse54,1756054349282,Synapse54
296,91733 (South El Monte),91733,39241,39241,26378382.3515625,27199.854867714454,1756054349282,Synapse54,1756054349282,Synapse54
297,91737 (Rancho Cucamonga),91737,23232,23232,26786250.0,26820.89326439801,1756054349282,Synapse54,1756054349282,Synapse54
298,91739 (Rancho Cucamonga),91739,41248,41248,51716250.0,40408.273830140315,1756054349282,Synapse54,1756054349282,Synapse54
299,91740 (Glendora),91740,23744,23744,18236250.0,23548.21002639036,1756054349282,Synapse54,1756054349282,Synapse54
300,91741 (Glendora),91741,26371,26371,60190000.0,39586.69749683478,1756054349282,Synapse54,1756054349282,Synapse54
301,91744 (La Puente),91744,74539,74539,32538750.0,39124.268064538584,1756054349282,Synapse54,1756054349282,Synapse54
302,91745 (Hacienda Heights),91745,50212,50212,56866250.0,43333.45379098072,1756054349282,Synapse54,1756054349282,Synapse54
