OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1645,47325 (Brownsville),Union County,Indiana,862a92377ffffff,73,24.75,24.75,59802499.99609375,28813.284893698816,1758492487369,Synapse54,1758492487369,Synapse54
1646,46127 (Falmouth),Fayette County,Indiana,862a92387ffffff,45,27.11,27.11,59573750.0,28758.852799559143,1758492487369,Synapse54,1758492487369,Synapse54
1647,47331 (Connersville),Fayette County,Indiana,862a9238fffffff,71,27.1,27.1,59525000.0078125,28746.95882279498,1758492487369,Synapse54,1758492487369,Synapse54
1648,46173 (Rushville),Rush County,Indiana,862a92397ffffff,41,27.7,27.7,59575000.0,28759.097500517706,1758492487369,Synapse54,1758492487369,Synapse54
1649,46127 (Falmouth),Rush County,Indiana,862a9239fffffff,54,27.41,27.41,59606250.0,28766.6285725829,1758492487369,Synapse54,1758492487369,Synapse54
1650,47331 (Connersville),Fayette County,Indiana,862a923a7ffffff,56,26.17,26.17,59793749.99609375,28813.22443692799,1758492487369,Synapse54,1758492487369,Synapse54
1651,47331 (Connersville),Fayette County,Indiana,862a923afffffff,56,26.67,26.67,60106249.99609375,28885.58376138757,1758492487369,Synapse54,1758492487369,Synapse54
1652,47352 (Lewisville),Rush County,Indiana,862a923b7ffffff,58,25.89,25.89,59949999.99609375,28845.420622544945,1758492487369,Synapse54,1758492487369,Synapse54
1653,46060 (Noblesville),Hamilton County,Indiana,862a92407ffffff,218,21.41,21.41,60448749.99609375,28965.94038989304,1758492487369,Synapse54,1758492487369,Synapse54
1654,46037 (Fishers),Hamilton County,Indiana,862a9240fffffff,2256,18.02,18.02,60234999.99609375,28919.077887145966,1758492487369,Synapse54,1758492487369,Synapse54
1655,46060 (Noblesville),Hamilton County,Indiana,862a92417ffffff,3310,17.23,17.23,60606249.99609375,29006.27548939673,1758492487369,Synapse54,1758492487369,Synapse54
1656,46060 (Noblesville),Hamilton County,Indiana,862a9241fffffff,3409,9.51,9.51,60448750.0,28965.94038989304,1758492487369,Synapse54,1758492487369,Synapse54
1657,46051 (Lapel),Madison County,Indiana,862a92427ffffff,619,20.32,20.32,60637500.0078125,29012.822742929224,1758492487369,Synapse54,1758492487369,Synapse54
1658,46051 (Lapel),Madison County,Indiana,862a9242fffffff,150,22.52,22.52,60768750.0,29045.228678463645,1758492487369,Synapse54,1758492487369,Synapse54
1659,46060 (Noblesville),Hamilton County,Indiana,862a92437ffffff,335,23.54,23.54,60637500.00390625,29012.822742929227,1758492487369,Synapse54,1758492487369,Synapse54
1660,46140 (Greenfield),Hancock County,Indiana,862a92447ffffff,189,23.95,23.95,60365000.0,28946.110955940738,1758492487369,Synapse54,1758492487369,Synapse54
1661,46140 (Greenfield),Hancock County,Indiana,862a9244fffffff,201,20.7,20.7,60213750.0,28912.711516844396,1758492487369,Synapse54,1758492487369,Synapse54
1662,46040 (Fortville),Hancock County,Indiana,862a92457ffffff,1635,14.96,14.96,60235000.0,28919.077887145966,1758492487369,Synapse54,1758492487369,Synapse54
1663,46040 (Fortville),Hancock County,Indiana,862a9245fffffff,323,25.25,25.25,59994999.99609375,28858.945523225688,1758492487369,Synapse54,1758492487369,Synapse54
1664,46064 (Pendleton),Madison County,Indiana,862a92467ffffff,561,21.67,21.67,60553750.0,28992.99330897692,1758492487369,Synapse54,1758492487369,Synapse54
1665,46186 (Wilkinson),Hancock County,Indiana,862a9246fffffff,91,22.81,22.81,60207500.00390625,28905.97368764431,1758492487369,Synapse54,1758492487369,Synapse54
1666,46064 (Pendleton),Madison County,Indiana,862a92477ffffff,948,14.63,14.63,60234999.99609375,28919.077887145966,1758492487369,Synapse54,1758492487369,Synapse54
1667,46033 (Carmel),Hamilton County,Indiana,862a92487ffffff,5037,17.2,17.2,60288750.0,28927.362693493556,1758492487369,Synapse54,1758492487369,Synapse54
1668,46033 (Carmel),Hamilton County,Indiana,862a9248fffffff,5839,20.92,20.92,60448750.0,28965.94038989304,1758492487369,Synapse54,1758492487369,Synapse54
1669,46074 (Westfield),Hamilton County,Indiana,862a92497ffffff,5268,15.34,15.34,60764999.99609375,29046.48384651746,1758492487369,Synapse54,1758492487369,Synapse54
1670,46032 (Carmel),Hamilton County,Indiana,862a9249fffffff,6215,18.03,18.03,60288750.0,28927.362693493556,1758492487369,Synapse54,1758492487369,Synapse54
1671,46062 (Noblesville),Hamilton County,Indiana,862a924a7ffffff,4423,18.09,18.09,60606250.00390625,29006.275489396725,1758492487369,Synapse54,1758492487369,Synapse54
1672,46060 (Noblesville),Hamilton County,Indiana,862a924afffffff,3443,15.1,15.1,60205000.00390625,28912.601722437776,1758492487369,Synapse54,1758492487369,Synapse54
1673,46074 (Westfield),Hamilton County,Indiana,862a924b7ffffff,2468,16.16,16.16,60502500.0,28974.673712865737,1758492487369,Synapse54,1758492487369,Synapse54
