OBJECTID,admin4_name,admin3_name,admin2_name,id,MILLENN_CY,MILLENN_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2335,46901 (Kokomo),Howard County,Indiana,86266538fffffff,635,18.5,18.5,62062499.99609375,29346.97220547281,1758492393705,Synapse54,1758492393705,Synapse54
2336,46733 (Decatur),Adams County,Indiana,862a9601fffffff,93,19.29,19.29,63407500.0,29666.438659049716,1758492393705,Synapse54,1758492393705,Synapse54
2337,46901 (Kokomo),Howard County,Indiana,8626653a7ffffff,414,19.76,19.76,62062499.99609375,29346.97220547281,1758492393705,Synapse54,1758492393705,Synapse54
2338,46773 (Monroeville),Allen County,Indiana,862a96027ffffff,174,20.62,20.62,63761250.0,29745.819394617807,1758492393705,Synapse54,1758492393705,Synapse54
2339,46901 (Kokomo),Howard County,Indiana,8626653afffffff,2468,22.32,22.32,61760000.00390625,29279.823018910865,1758492393705,Synapse54,1758492393705,Synapse54
2340,46773 (Monroeville),Allen County,Indiana,862a9602fffffff,74,19.84,19.84,63633749.99609375,29713.512684548685,1758492393705,Synapse54,1758492393705,Synapse54
2341,46910 (Akron),Kosciusko County,Indiana,862665807ffffff,127,17.35,17.35,63998750.00390625,29800.18428967896,1758492393705,Synapse54,1758492393705,Synapse54
2342,46773 (Monroeville),Allen County,Indiana,862a96037ffffff,104,16.88,16.88,63404999.99609375,29658.921099652096,1758492393705,Synapse54,1758492393705,Synapse54
2343,46910 (Akron),Fulton County,Indiana,86266580fffffff,137,20.6,20.6,63718750.0,29733.707317744967,1758492393705,Synapse54,1758492393705,Synapse54
2344,45874 (Ohio City),Van Wert County,Ohio,862a96047ffffff,99,20.89,20.89,63104999.99609375,29592.67605253681,1758492393705,Synapse54,1758492393705,Synapse54
2345,46910 (Akron),Fulton County,Indiana,862665817ffffff,85,22.31,22.31,63805000.00390625,29753.396617913557,1758492393705,Synapse54,1758492393705,Synapse54
2346,46733 (Decatur),Adams County,Indiana,862a96057ffffff,112,17.83,17.83,63187500.0,29611.977167893736,1758492393705,Synapse54,1758492393705,Synapse54
2347,46910 (Akron),Fulton County,Indiana,86266581fffffff,402,22.05,22.05,63500000.0,29686.121742292693,1758492393705,Synapse54,1758492393705,Synapse54
2348,46733 (Decatur),Adams County,Indiana,862a9605fffffff,111,18.59,18.59,63037500.00390625,29575.245797232164,1758492393705,Synapse54,1758492393705,Synapse54
2349,46510 (Claypool),Kosciusko County,Indiana,862665827ffffff,144,21.98,21.98,63693749.99609375,29732.909414058096,1758492393705,Synapse54,1758492393705,Synapse54
2350,45832 (Convoy),Van Wert County,Ohio,862a96077ffffff,74,19.73,19.73,63416250.0,29666.56875279033,1758492393705,Synapse54,1758492393705,Synapse54
2351,46982 (Silver Lake),Kosciusko County,Indiana,86266582fffffff,302,21.46,21.46,63781250.0,29746.75259441821,1758492393705,Synapse54,1758492393705,Synapse54
2352,46819 (Fort Wayne),Allen County,Indiana,862a96087ffffff,116,19.69,19.69,63566249.99609375,29698.934079278097,1758492393705,Synapse54,1758492393705,Synapse54
2353,46539 (Mentone),Kosciusko County,Indiana,862665837ffffff,87,21.8,21.8,63693750.00390625,29732.909414058096,1758492393705,Synapse54,1758492393705,Synapse54
2354,46777 (Ossian),Wells County,Indiana,862a9608fffffff,83,21.07,21.07,63052500.0078125,29579.301897872658,1758492393705,Synapse54,1758492393705,Synapse54
2355,46974 (Roann),Wabash County,Indiana,862665847ffffff,212,21.46,21.46,63258750.0,29632.406317239263,1758492393705,Synapse54,1758492393705,Synapse54
2356,46798 (Yoder),Allen County,Indiana,862a96097ffffff,129,17.43,17.43,63296250.0,29638.615992855583,1758492393705,Synapse54,1758492393705,Synapse54
2357,46962 (North Manchester),Wabash County,Indiana,86266584fffffff,92,20.54,20.54,63065000.00390625,29585.79439397921,1758492393705,Synapse54,1758492393705,Synapse54
2358,46777 (Ossian),Wells County,Indiana,862a9609fffffff,992,22.45,22.45,63213750.00390625,29619.31487749866,1758492393705,Synapse54,1758492393705,Synapse54
2359,46974 (Roann),Wabash County,Indiana,862665857ffffff,102,20.9,20.9,62901250.0,29546.68254836081,1758492393705,Synapse54,1758492393705,Synapse54
2360,46745 (Hoagland),Allen County,Indiana,862a960a7ffffff,417,20.13,20.13,63566250.0,29698.934079278097,1758492393705,Synapse54,1758492393705,Synapse54
2361,46974 (Roann),Wabash County,Indiana,86266585fffffff,171,20.19,20.19,63337500.0,29645.81771113289,1758492393705,Synapse54,1758492393705,Synapse54
2362,46733 (Decatur),Allen County,Indiana,862a960afffffff,136,20.27,20.27,63187500.00390625,29611.977167893736,1758492393705,Synapse54,1758492393705,Synapse54
2363,46962 (North Manchester),Wabash County,Indiana,862665867ffffff,474,17.06,17.06,63337500.00390625,29645.81771113289,1758492393705,Synapse54,1758492393705,Synapse54
2364,46819 (Fort Wayne),Allen County,Indiana,862a960b7ffffff,1226,25.41,25.41,63296250.00390625,29638.615992855583,1758492393705,Synapse54,1758492393705,Synapse54
