OBJECTID,DESCRIPTION,ID,ECYMTN1524,ECYMTN1524_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
322,"J3N (St-Basile-Le-Grand, QC)",J3N,21,0.31,0.31,74736126.0,37659.20099111866,1753800849569,Synapse54,1753800849569,Synapse54
323,"J3P (Sorel-Tracy, QC)",J3P,282,2.21,2.21,211886795.0,80652.39762505802,1753800849569,Synapse54,1753800849569,Synapse54
324,"J3R (Sorel-Tracy, QC)",J3R,198,2.68,2.68,57862738.0,40488.46821105956,1753800849569,Synapse54,1753800849569,Synapse54
325,"J3T (Nicolet, QC)",J3T,90,2.32,2.32,271606732.5,71484.12258274788,1753800849569,Synapse54,1753800849569,Synapse54
326,"J3V (Saint-Bruno, QC)",J3V,62,0.58,0.58,90158805.5,51396.92313356961,1753800849569,Synapse54,1753800849569,Synapse54
327,"J3X (Varennes, QC)",J3X,119,1.37,1.37,232058892.5,71561.3428539275,1753800849569,Synapse54,1753800849569,Synapse54
328,"J3Y (Saint-Hubert, QC)",J3Y,472,1.67,1.67,101336037.0,100201.13539228243,1753800849569,Synapse54,1753800849569,Synapse54
329,"J3Z (Saint-Hubert, QC)",J3Z,10,0.51,0.51,22454206.0,63608.93575532092,1753800849569,Synapse54,1753800849569,Synapse54
330,"J4B (Boucherville, QC)",J4B,85,0.48,0.48,170076124.5,59886.44585342009,1753800849569,Synapse54,1753800849569,Synapse54
331,"J4G (Longueuil, QC)",J4G,88,1.75,1.75,25356829.5,23719.52752698455,1753800849569,Synapse54,1753800849569,Synapse54
332,"J4H (Longueuil, QC)",J4H,310,3.67,3.67,11650935.0,15524.513087115087,1753800849569,Synapse54,1753800849569,Synapse54
333,"J4J (Longueuil, QC)",J4J,647,4.16,4.16,15351226.5,21930.353895068798,1753800849569,Synapse54,1753800849569,Synapse54
334,"J4K (Longueuil, QC)",J4K,621,4.55,4.55,12801059.0,20426.997549827258,1753800849569,Synapse54,1753800849569,Synapse54
335,"J4L (Longueuil, QC)",J4L,481,3.28,3.28,14765810.5,16776.5326873664,1753800849569,Synapse54,1753800849569,Synapse54
336,"J4M (Longueuil, QC)",J4M,37,0.71,0.71,10545973.0,20915.15150342213,1753800849569,Synapse54,1753800849569,Synapse54
337,"J4N (Longueuil, QC)",J4N,89,1.66,1.66,9982414.5,18319.159231838094,1753800849569,Synapse54,1753800849569,Synapse54
338,"J4P (Longueuil, QC)",J4P,175,3.04,3.04,6998059.0,12458.778436344583,1753800849569,Synapse54,1753800849569,Synapse54
