OBJECTID,DESCRIPTION,ID,P5YTENHHD,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
291,"J1M (Sherbrooke, QC)",J1M,2926,2926,66319442.5,51850.27975629163,1753799558460,Synapse54,1753799558460,Synapse54
292,"J1N (Sherbrooke, QC)",J1N,16238,16238,196798113.5,75865.43435097949,1753799558460,Synapse54,1753799558460,Synapse54
293,"J1R (Sherbrooke, QC)",J1R,5042,5042,129969730.0,55500.89678544112,1753799558460,Synapse54,1753799558460,Synapse54
294,"J1S (Windsor, QC)",J1S,3555,3555,306725365.5,94080.75320925176,1753799558460,Synapse54,1753799558460,Synapse54
295,"J1T (Val-Des-Sources, QC)",J1T,4126,4126,94108625.0,49846.76465177346,1753799558460,Synapse54,1753799558460,Synapse54
296,"J1X (Magog, QC)",J1X,17791,17791,728921445.0,201253.21200864858,1753799558460,Synapse54,1753799558460,Synapse54
297,"J1Z (Saint-Cyrille-De-Wendover, QC)",J1Z,2429,2429,352999380.0,123836.95765720992,1753799558460,Synapse54,1753799558460,Synapse54
298,"J2A (Drummondville, QC)",J2A,5588,5588,210419353.0,83920.96306970775,1753799558460,Synapse54,1753799558460,Synapse54
299,"J2B (Drummondville, QC)",J2B,17156,17156,262759591.40234375,162201.91283563137,1753799558460,Synapse54,1753799558460,Synapse54
300,"J2C (Drummondville, QC)",J2C,15735,15735,46328225.59765625,41604.1853996451,1753799558460,Synapse54,1753799558460,Synapse54
301,"J2E (Drummondville, QC)",J2E,2199,2199,18350789.5,28926.839340474853,1753799558460,Synapse54,1753799558460,Synapse54
302,"J2G (Granby, QC)",J2G,15310,15310,27125065.5,40964.248286282396,1753799558460,Synapse54,1753799558460,Synapse54
303,"J2H (Granby, QC)",J2H,10303,10303,136788271.0,82651.78876586944,1753799558460,Synapse54,1753799558460,Synapse54
304,"J2J (Granby, QC)",J2J,9566,9566,158975426.5,75483.31166212616,1753799558460,Synapse54,1753799558460,Synapse54
305,"J2K (Cowansville, QC)",J2K,9939,9939,327067186.0,107161.13325887192,1753799558460,Synapse54,1753799558460,Synapse54
306,"J2L (Bromont, QC)",J2L,6799,6799,230068726.0,81624.30958657779,1753799558460,Synapse54,1753799558460,Synapse54
307,"J2M (Shefford, QC)",J2M,3281,3281,242332781.2734375,116121.4987637872,1753799558460,Synapse54,1753799558460,Synapse54
308,"J2N (Farnham, QC)",J2N,5520,5520,187541869.5,67299.99265741695,1753799558460,Synapse54,1753799558460,Synapse54
309,"J2R (Saint-Hyacinthe, QC)",J2R,4405,4405,202913088.0,104737.13437793839,1753799558460,Synapse54,1753799558460,Synapse54
310,"J2S (Saint-Hyacinthe, QC)",J2S,15578,15578,64473264.0,73386.10579135851,1753799558460,Synapse54,1753799558460,Synapse54
311,"J2T (Saint-Hyacinthe, QC)",J2T,8308,8308,91771688.0,53456.23963708392,1753799558460,Synapse54,1753799558460,Synapse54
312,"J2W (Saint-Jean-Sur-Richelieu, QC)",J2W,12234,12234,103463004.5,59571.138073747235,1753799558460,Synapse54,1753799558460,Synapse54
313,"J2X (Saint-Jean-Sur-Richelieu, QC)",J2X,9287,9287,145676986.0,80102.73759580929,1753799558460,Synapse54,1753799558460,Synapse54
314,"J2Y (Saint-Jean-Sur-Richelieu, QC)",J2Y,2398,2398,146400386.17578125,73826.30271667863,1753799558460,Synapse54,1753799558460,Synapse54
315,"J3A (Saint-Jean-Sur-Richelieu, QC)",J3A,5348,5348,6186209.0,11188.578319190965,1753799558460,Synapse54,1753799558460,Synapse54
316,"J3B (Saint-Jean-Sur-Richelieu, QC)",J3B,16663,16663,95704303.5,54381.46319865555,1753799558460,Synapse54,1753799558460,Synapse54
317,"J3E (Sainte-Julie, QC)",J3E,12531,12531,105827610.5,60902.63170645707,1753799558460,Synapse54,1753799558460,Synapse54
318,"J3G (Beloeil, QC)",J3G,15696,15696,171490984.5,98109.63892656052,1753799558460,Synapse54,1753799558460,Synapse54
319,"J3H (Beloeil, QC)",J3H,11491,11491,80996367.5,55540.40786090735,1753799558460,Synapse54,1753799558460,Synapse54
320,"J3L (Chambly, QC)",J3L,23852,23852,364093398.0,124754.83820581688,1753799558460,Synapse54,1753799558460,Synapse54
321,"J3M (Marieville, QC)",J3M,5059,5059,126097256.5,55752.50302456562,1753799558460,Synapse54,1753799558460,Synapse54
