OBJECTID,DESCRIPTION,ID,P5YHRIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
89,"G6H (Thetford Mines, QC)",G6H,247228736.81,247228736.81,381525955.5,208711.52055490302,1753802168379,Synapse54,1753802168379,Synapse54
90,"G6J (Saint-Etienne-De-Lauzon, QC)",G6J,521475687.01,521475687.01,170941088.5,68005.84099520143,1753802168379,Synapse54,1753802168379,Synapse54
91,"G6K (Saint-Redempteur, QC)",G6K,435165877.61,435165877.61,8847420.0,13869.752401834681,1753802168379,Synapse54,1753802168379,Synapse54
92,"G6L (Plessisville, QC)",G6L,585221985.84,585221985.84,727703425.5,150480.86599396955,1753802168379,Synapse54,1753802168379,Synapse54
93,"G6P (Victoriaville, QC)",G6P,1118283678.74,1118283678.74,43162857.0,67077.33804588739,1753802168379,Synapse54,1753802168379,Synapse54
94,"G6R (Victoriaville, QC)",G6R,197641915.38,197641915.38,111890007.5,67049.5189257073,1753802168379,Synapse54,1753802168379,Synapse54
95,"G6S (Victoriaville, QC)",G6S,229931154.76,229931154.76,93883157.5,65606.32420350032,1753802168379,Synapse54,1753802168379,Synapse54
96,"G6T (Victoriaville, QC)",G6T,513316736.08,513316736.08,97646146.0,79862.46403678902,1753802168379,Synapse54,1753802168379,Synapse54
97,"G6V (Levis, QC)",G6V,1480405596.59,1480405596.59,51005706.5,85820.66591178898,1753802168379,Synapse54,1753802168379,Synapse54
98,"G6W (Levis, QC)",G6W,1290601545.46,1290601545.46,54365583.5,57031.8227070878,1753802168379,Synapse54,1753802168379,Synapse54
99,"G6X (Levis, QC)",G6X,435805624.74,435805624.74,17532207.0,18566.178953389182,1753802168379,Synapse54,1753802168379,Synapse54
100,"G6Y (Levis, QC)",G6Y,416200153.43,416200153.43,48673784.5,36076.08982567784,1753802168379,Synapse54,1753802168379,Synapse54
