OBJECTID,DESCRIPTION,ID,P5YHNIMED,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
284,"J1C (Sherbrooke, QC)",J1C,101403.22,101403.22,148314795.5,58854.95341782354,1753801593706,Synapse54,1753801593706,Synapse54
285,"J1E (Sherbrooke, QC)",J1E,73649.86,73649.86,36392307.5,31305.785200373433,1753801593706,Synapse54,1753801593706,Synapse54
286,"J1G (Sherbrooke, QC)",J1G,84585.99,84585.99,23722537.5,26568.26494121696,1753801593706,Synapse54,1753801593706,Synapse54
287,"J1H (Sherbrooke, QC)",J1H,65319.8,65319.8,90156997.5,95524.0591322304,1753801593706,Synapse54,1753801593706,Synapse54
288,"J1J (Sherbrooke, QC)",J1J,93099.89,93099.89,14850239.5,21529.415696903085,1753801593706,Synapse54,1753801593706,Synapse54
289,"J1K (Sherbrooke, QC)",J1K,80215.23,80215.23,14646372.0,20632.820225363073,1753801593706,Synapse54,1753801593706,Synapse54
290,"J1L (Sherbrooke, QC)",J1L,83328.99,83328.99,27073074.0,24825.97616578884,1753801593706,Synapse54,1753801593706,Synapse54
291,"J1M (Sherbrooke, QC)",J1M,89990.76,89990.76,66319442.5,51850.27975629163,1753801593706,Synapse54,1753801593706,Synapse54
292,"J1N (Sherbrooke, QC)",J1N,116301.44,116301.44,196798113.5,75865.43435097949,1753801593706,Synapse54,1753801593706,Synapse54
293,"J1R (Sherbrooke, QC)",J1R,130045.84,130045.84,129969730.0,55500.89678544112,1753801593706,Synapse54,1753801593706,Synapse54
294,"J1S (Windsor, QC)",J1S,93378.46,93378.46,306725365.5,94080.75320925176,1753801593706,Synapse54,1753801593706,Synapse54
295,"J1T (Val-Des-Sources, QC)",J1T,68567.19,68567.19,94108625.0,49846.76465177346,1753801593706,Synapse54,1753801593706,Synapse54
296,"J1X (Magog, QC)",J1X,94280.97,94280.97,728921445.0,201253.21200864858,1753801593706,Synapse54,1753801593706,Synapse54
297,"J1Z (Saint-Cyrille-De-Wendover, QC)",J1Z,108048.9,108048.9,352999380.0,123836.95765720992,1753801593706,Synapse54,1753801593706,Synapse54
298,"J2A (Drummondville, QC)",J2A,105556.24,105556.24,210419353.0,83920.96306970775,1753801593706,Synapse54,1753801593706,Synapse54
299,"J2B (Drummondville, QC)",J2B,80854.25,80854.25,262759591.40234375,162201.91283563137,1753801593706,Synapse54,1753801593706,Synapse54
300,"J2C (Drummondville, QC)",J2C,78810.93,78810.93,46328225.59765625,41604.1853996451,1753801593706,Synapse54,1753801593706,Synapse54
301,"J2E (Drummondville, QC)",J2E,90356.59,90356.59,18350789.5,28926.839340474853,1753801593706,Synapse54,1753801593706,Synapse54
302,"J2G (Granby, QC)",J2G,72154.9,72154.9,27125065.5,40964.248286282396,1753801593706,Synapse54,1753801593706,Synapse54
